FREQ,Frequenza,REF_AREA,Territorio,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITD3,Veneto,2,Femmine,Y50-64,50-64 anni,2021,312.654,,
A,Annuale,ITD3,Veneto,2,Femmine,Y50-64,50-64 anni,2022,326.099,,
A,Annuale,ITD3,Veneto,2,Femmine,Y50-64,50-64 anni,2023,354.895,,
A,Annuale,ITD3,Veneto,2,Femmine,Y50-64,50-64 anni,2024,358.959,,
A,Annuale,ITD3,Veneto,2,Femmine,Y50-64,50-64 anni,2025,363.528,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-64,15-64 anni,2018,900.907,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-64,15-64 anni,2019,910.508,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-64,15-64 anni,2020,858.479,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-64,15-64 anni,2021,882.921,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-64,15-64 anni,2022,910.567,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-64,15-64 anni,2023,951.904,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-64,15-64 anni,2024,946.102,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-64,15-64 anni,2025,919.779,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-89,15-89 anni,2018,915.075,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-89,15-89 anni,2019,927.451,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-89,15-89 anni,2020,879.002,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-89,15-89 anni,2021,899.756,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-89,15-89 anni,2022,928.534,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-89,15-89 anni,2023,973.871,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-89,15-89 anni,2024,969.238,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-89,15-89 anni,2025,946.322,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-24,15-24 anni,2018,105.955,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-24,15-24 anni,2019,118.515,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-24,15-24 anni,2020,103.799,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-24,15-24 anni,2021,104.703,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-24,15-24 anni,2022,127.103,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-24,15-24 anni,2023,137.946,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-24,15-24 anni,2024,114.953,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-24,15-24 anni,2025,110.274,,
A,Annuale,ITD3,Veneto,9,Totale,Y25-34,25-34 anni,2018,381.376,,
A,Annuale,ITD3,Veneto,9,Totale,Y25-34,25-34 anni,2019,377.406,,
A,Annuale,ITD3,Veneto,9,Totale,Y25-34,25-34 anni,2020,361.79,,
A,Annuale,ITD3,Veneto,9,Totale,Y25-34,25-34 anni,2021,374.665,,
A,Annuale,ITD3,Veneto,9,Totale,Y25-34,25-34 anni,2022,389.741,,
A,Annuale,ITD3,Veneto,9,Totale,Y25-34,25-34 anni,2023,394.518,,
A,Annuale,ITD3,Veneto,9,Totale,Y25-34,25-34 anni,2024,401.002,,
A,Annuale,ITD3,Veneto,9,Totale,Y25-34,25-34 anni,2025,404.188,,
