FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2010,7.817954,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2011,7.839712,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2012,10.247472,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2013,11.949135,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2014,12.311948,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2015,11.668163,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2016,11.176404,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2017,10.619349,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2018,9.938983,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2019,9.274854,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2020,8.76976,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2021,8.87436,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2022,7.278443,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2023,6.959521,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2024,6.03491,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2025,5.826225,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2004,6.398999,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2005,6.256547,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2006,5.504745,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2007,4.944141,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2008,5.567746,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2009,6.885136,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2010,7.707678,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2011,7.724385,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2012,10.080161,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2013,11.749209,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2014,12.087685,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2015,11.459869,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2016,10.971428,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2017,10.399953,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2018,9.733529,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2019,9.095009,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2020,8.58323,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2021,8.702505,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2022,7.139656,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2023,6.806493,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2024,5.890875,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-74,15-74 anni,2025,5.680791,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y50-74,50-74 anni,2004,3.657916,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y50-74,50-74 anni,2005,3.204551,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y50-74,50-74 anni,2006,2.697129,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y50-74,50-74 anni,2007,2.259325,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y50-74,50-74 anni,2008,2.995218,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y50-74,50-74 anni,2009,3.653429,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y50-74,50-74 anni,2010,4.015164,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y50-74,50-74 anni,2011,4.428215,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y50-74,50-74 anni,2012,5.999794,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y50-74,50-74 anni,2013,6.952613,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y50-74,50-74 anni,2014,6.709551,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y50-74,50-74 anni,2015,6.693522,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y50-74,50-74 anni,2016,6.439038,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y50-74,50-74 anni,2017,6.428328,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y50-74,50-74 anni,2018,6.328581,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y50-74,50-74 anni,2019,5.745385,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y50-74,50-74 anni,2020,5.211282,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y50-74,50-74 anni,2021,5.546102,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y50-74,50-74 anni,2022,4.751878,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y50-74,50-74 anni,2023,4.339433,,
